Timestamp,Temperature,Humidity,Air Quality (PPM),AQI
18419,22.00,53.00,241.21,180
32681,22.00,53.00,242.19,181
46944,22.00,53.00,243.16,182
61206,22.00,53.00,245.12,183
75468,22.00,53.00,244.14,183
89730,22.00,53.00,242.19,181
103992,22.00,53.00,241.21,180
118254,22.00,53.00,240.23,180
132516,22.00,53.00,237.30,177
146779,22.00,53.00,243.16,182
161041,22.00,53.00,243.16,182
175303,22.00,53.00,241.21,180
